"사망원인별","연령별","항목","단위","2016 년",
"감염성 및 기생충성 질환","30","사망확률(전체)[%]","%","3.02594",
"감염성 및 기생충성 질환","30","증가기대여명(전체)[년]","년",".36972",
"감염성 및 기생충성 질환","30","사망확률(남자)[%]","%","2.9423",
"감염성 및 기생충성 질환","30","증가기대여명(남자)[년]","년",".39586",
"감염성 및 기생충성 질환","30","사망확률(여자)[%]","%","3.11125",
"감염성 및 기생충성 질환","30","증가기대여명(여자)[년]","년",".33429",
"감염성 및 기생충성 질환","35","사망확률(전체)[%]","%","3.031",
"감염성 및 기생충성 질환","35","증가기대여명(전체)[년]","년",".36889",
"감염성 및 기생충성 질환","35","사망확률(남자)[%]","%","2.94824",
"감염성 및 기생충성 질환","35","증가기대여명(남자)[년]","년",".39503",
"감염성 및 기생충성 질환","35","사망확률(여자)[%]","%","3.11536",
"감염성 및 기생충성 질환","35","증가기대여명(여자)[년]","년",".33354",
"감염성 및 기생충성 질환","40","사망확률(전체)[%]","%","3.03656",
"감염성 및 기생충성 질환","40","증가기대여명(전체)[년]","년",".36737",
"감염성 및 기생충성 질환","40","사망확률(남자)[%]","%","2.95446",
"감염성 및 기생충성 질환","40","증가기대여명(남자)[년]","년",".39338",
"감염성 및 기생충성 질환","40","사망확률(여자)[%]","%","3.12005",
"감염성 및 기생충성 질환","40","증가기대여명(여자)[년]","년",".33225",
"감염성 및 기생충성 질환","45","사망확률(전체)[%]","%","3.04497",
"감염성 및 기생충성 질환","45","증가기대여명(전체)[년]","년",".36539",
"감염성 및 기생충성 질환","45","사망확률(남자)[%]","%","2.96333",
"감염성 및 기생충성 질환","45","증가기대여명(남자)[년]","년",".39063",
"감염성 및 기생충성 질환","45","사망확률(여자)[%]","%","3.12776",
"감염성 및 기생충성 질환","45","증가기대여명(여자)[년]","년",".33143",
"감염성 및 기생충성 질환","50","사망확률(전체)[%]","%","3.05315",
"감염성 및 기생충성 질환","50","증가기대여명(전체)[년]","년",".36133",
"감염성 및 기생충성 질환","50","사망확률(남자)[%]","%","2.97081",
"감염성 및 기생충성 질환","50","증가기대여명(남자)[년]","년",".38498",
"감염성 및 기생충성 질환","50","사망확률(여자)[%]","%","3.13609",
"감염성 및 기생충성 질환","50","증가기대여명(여자)[년]","년",".32967",
"감염성 및 기생충성 질환","55","사망확률(전체)[%]","%","3.06312",
"감염성 및 기생충성 질환","55","증가기대여명(전체)[년]","년",".35546",
"감염성 및 기생충성 질환","55","사망확률(남자)[%]","%","2.9781",
"감염성 및 기생충성 질환","55","증가기대여명(남자)[년]","년",".37641",
"감염성 및 기생충성 질환","55","사망확률(여자)[%]","%","3.14808",
"감염성 및 기생충성 질환","55","증가기대여명(여자)[년]","년",".32779",
"감염성 및 기생충성 질환","60","사망확률(전체)[%]","%","3.08194",
"감염성 및 기생충성 질환","60","증가기대여명(전체)[년]","년",".35003",
"감염성 및 기생충성 질환","60","사망확률(남자)[%]","%","3.00024",
"감염성 및 기생충성 질환","60","증가기대여명(남자)[년]","년",".36949",
"감염성 및 기생충성 질환","60","사망확률(여자)[%]","%","3.16238",
"감염성 및 기생충성 질환","60","증가기대여명(여자)[년]","년",".32513",
"감염성 및 기생충성 질환","65","사망확률(전체)[%]","%","3.11119",
"감염성 및 기생충성 질환","65","증가기대여명(전체)[년]","년",".34467",
"감염성 및 기생충성 질환","65","사망확률(남자)[%]","%","3.04295",
"감염성 및 기생충성 질환","65","증가기대여명(남자)[년]","년",".36442",
"감염성 및 기생충성 질환","65","사망확률(여자)[%]","%","3.17692",
"감염성 및 기생충성 질환","65","증가기대여명(여자)[년]","년",".32079",
"감염성 및 기생충성 질환","70","사망확률(전체)[%]","%","3.14544",
"감염성 및 기생충성 질환","70","증가기대여명(전체)[년]","년",".33748",
"감염성 및 기생충성 질환","70","사망확률(남자)[%]","%","3.09851",
"감염성 및 기생충성 질환","70","증가기대여명(남자)[년]","년",".35888",
"감염성 및 기생충성 질환","70","사망확률(여자)[%]","%","3.1894",
"감염성 및 기생충성 질환","70","증가기대여명(여자)[년]","년",".31372",
"감염성 및 기생충성 질환","75","사망확률(전체)[%]","%","3.18974",
"감염성 및 기생충성 질환","75","증가기대여명(전체)[년]","년",".32845",
"감염성 및 기생충성 질환","75","사망확률(남자)[%]","%","3.18349",
"감염성 및 기생충성 질환","75","증가기대여명(남자)[년]","년",".35505",
"감염성 및 기생충성 질환","75","사망확률(여자)[%]","%","3.198",
"감염성 및 기생충성 질환","75","증가기대여명(여자)[년]","년",".30261",
"감염성 및 기생충성 질환","80","사망확률(전체)[%]","%","3.19894",
"감염성 및 기생충성 질환","80","증가기대여명(전체)[년]","년",".3094",
"감염성 및 기생충성 질환","80","사망확률(남자)[%]","%","3.28917",
"감염성 및 기생충성 질환","80","증가기대여명(남자)[년]","년",".34732",
"감염성 및 기생충성 질환","80","사망확률(여자)[%]","%","3.14458",
"감염성 및 기생충성 질환","80","증가기대여명(여자)[년]","년",".27907",
"감염성 및 기생충성 질환","85","사망확률(전체)[%]","%","3.08806",
"감염성 및 기생충성 질환","85","증가기대여명(전체)[년]","년",".26624",
"감염성 및 기생충성 질환","85","사망확률(남자)[%]","%","3.35545",
"감염성 및 기생충성 질환","85","증가기대여명(남자)[년]","년",".31669",
"감염성 및 기생충성 질환","85","사망확률(여자)[%]","%","2.96139",
"감염성 및 기생충성 질환","85","증가기대여명(여자)[년]","년",".23468",
"감염성 및 기생충성 질환","90+","사망확률(전체)[%]","%","2.82843",
"감염성 및 기생충성 질환","90+","증가기대여명(전체)[년]","년",".13447",
"감염성 및 기생충성 질환","90+","사망확률(남자)[%]","%","3.35245",
"감염성 및 기생충성 질환","90+","증가기대여명(남자)[년]","년",".1423",
"감염성 및 기생충성 질환","90+","사망확률(여자)[%]","%","2.64582",
"감염성 및 기생충성 질환","90+","증가기대여명(여자)[년]","년",".1326",
"악성 신생물(암)","0","사망확률(전체)[%]","%","21.30766",
"악성 신생물(암)","0","증가기대여명(전체)[년]","년","3.89311",
"악성 신생물(암)","0","사망확률(남자)[%]","%","27.10031",
"악성 신생물(암)","0","증가기대여명(남자)[년]","년","4.94998",
"악성 신생물(암)","0","사망확률(여자)[%]","%","16.42603",
"악성 신생물(암)","0","증가기대여명(여자)[년]","년","2.86234",
"악성 신생물(암)","1","사망확률(전체)[%]","%","21.36494",
"악성 신생물(암)","1","증가기대여명(전체)[년]","년","3.90175",
"악성 신생물(암)","1","사망확률(남자)[%]","%","27.17934",
"악성 신생물(암)","1","증가기대여명(남자)[년]","년","4.9619",
"악성 신생물(암)","1","사망확률(여자)[%]","%","16.46655",
"악성 신생물(암)","1","증가기대여명(여자)[년]","년","2.86834",
"악성 신생물(암)","5","사망확률(전체)[%]","%","21.3684",
"악성 신생물(암)","5","증가기대여명(전체)[년]","년","3.89595",
"악성 신생물(암)","5","사망확률(남자)[%]","%","27.18836",
"악성 신생물(암)","5","증가기대여명(남자)[년]","년","4.95677",
"악성 신생물(암)","5","사망확률(여자)[%]","%","16.46586",
"악성 신생물(암)","5","증가기대여명(여자)[년]","년","2.86189",
"악성 신생물(암)","10","사망확률(전체)[%]","%","21.36726",
"악성 신생물(암)","10","증가기대여명(전체)[년]","년","3.88936",
"악성 신생물(암)","10","사망확률(남자)[%]","%","27.19232",
"악성 신생물(암)","10","증가기대여명(남자)[년]","년","4.95214",
"악성 신생물(암)","10","사망확률(여자)[%]","%","16.46024",
"악성 신생물(암)","10","증가기대여명(여자)[년]","년","2.85321",
"악성 신생물(암)","15","사망확률(전체)[%]","%","21.36638",
"악성 신생물(암)","15","증가기대여명(전체)[년]","년","3.88382",
"악성 신생물(암)","15","사망확률(남자)[%]","%","27.19376",
"악성 신생물(암)","15","증가기대여명(남자)[년]","년","4.9462",
"악성 신생물(암)","15","사망확률(여자)[%]","%","16.45897",
"악성 신생물(암)","15","증가기대여명(여자)[년]","년","2.84893",
"악성 신생물(암)","20","사망확률(전체)[%]","%","21.37476",
"악성 신생물(암)","20","증가기대여명(전체)[년]","년","3.87792",
"악성 신생물(암)","20","사망확률(남자)[%]","%","27.21453",
"악성 신생물(암)","20","증가기대여명(남자)[년]","년","4.9416",
"악성 신생물(암)","20","사망확률(여자)[%]","%","16.45883",
"악성 신생물(암)","20","증가기대여명(여자)[년]","년","2.84213",
"악성 신생물(암)","25","사망확률(전체)[%]","%","21.38916",
"악성 신생물(암)","25","증가기대여명(전체)[년]","년","3.87133",
"악성 신생물(암)","25","사망확률(남자)[%]","%","27.24467",
"악성 신생물(암)","25","증가기대여명(남자)[년]","년","4.93584",
"악성 신생물(암)","25","사망확률(여자)[%]","%","16.46362",
"악성 신생물(암)","25","증가기대여명(여자)[년]","년","2.83584",
"악성 신생물(암)","30","사망확률(전체)[%]","%","21.41279",
"악성 신생물(암)","30","증가기대여명(전체)[년]","년","3.86618",
"악성 신생물(암)","30","사망확률(남자)[%]","%","27.30131",
"악성 신생물(암)","30","증가기대여명(남자)[년]","년","4.93777",
"악성 신생물(암)","30","사망확률(여자)[%]","%","16.46287",
"악성 신생물(암)","30","증가기대여명(여자)[년]","년","2.82458",
"악성 신생물(암)","35","사망확률(전체)[%]","%","21.42872",
"악성 신생물(암)","35","증가기대여명(전체)[년]","년","3.85227",
"악성 신생물(암)","35","사망확률(남자)[%]","%","27.35638",
"악성 신생물(암)","35","증가기대여명(남자)[년]","년","4.93282",
"악성 신생물(암)","35","사망확률(여자)[%]","%","16.44927",
"악성 신생물(암)","35","증가기대여명(여자)[년]","년","2.80274",
"악성 신생물(암)","40","사망확률(전체)[%]","%","21.42096",
"악성 신생물(암)","40","증가기대여명(전체)[년]","년","3.8217",
"악성 신생물(암)","40","사망확률(남자)[%]","%","27.41239",
"악성 신생물(암)","40","증가기대여명(남자)[년]","년","4.91952",
"악성 신생물(암)","40","사망확률(여자)[%]","%","16.38997",
"악성 신생물(암)","40","증가기대여명(여자)[년]","년","2.75548",
"악성 신생물(암)","45","사망확률(전체)[%]","%","21.38923",
"악성 신생물(암)","45","증가기대여명(전체)[년]","년","3.77233",
"악성 신생물(암)","45","사망확률(남자)[%]","%","27.47689",
"악성 신생물(암)","45","증가기대여명(남자)[년]","년","4.89087",
"악성 신생물(암)","45","사망확률(여자)[%]","%","16.28948",
"악성 신생물(암)","45","증가기대여명(여자)[년]","년","2.6893",
"악성 신생물(암)","50","사망확률(전체)[%]","%","21.29323",
"악성 신생물(암)","50","증가기대여명(전체)[년]","년","3.68895",
"악성 신생물(암)","50","사망확률(남자)[%]","%","27.50502",
"악성 신생물(암)","50","증가기대여명(남자)[년]","년","4.82658",
"악성 신생물(암)","50","사망확률(여자)[%]","%","16.11942",
"악성 신생물(암)","50","증가기대여명(여자)[년]","년","2.59574",
"악성 신생물(암)","55","사망확률(전체)[%]","%","21.09029",
"악성 신생물(암)","55","증가기대여명(전체)[년]","년","3.56103",
"악성 신생물(암)","55","사망확률(남자)[%]","%","27.46238",
"악성 신생물(암)","55","증가기대여명(남자)[년]","년","4.71556",
"악성 신생물(암)","55","사망확률(여자)[%]","%","15.8392",
"악성 신생물(암)","55","증가기대여명(여자)[년]","년","2.46624",
"악성 신생물(암)","60","사망확률(전체)[%]","%","20.68837",
"악성 신생물(암)","60","증가기대여명(전체)[년]","년","3.37371",
"악성 신생물(암)","60","사망확률(남자)[%]","%","27.18757",
"악성 신생물(암)","60","증가기대여명(남자)[년]","년","4.52456",
"악성 신생물(암)","60","사망확률(여자)[%]","%","15.44002",
"악성 신생물(암)","60","증가기대여명(여자)[년]","년","2.30858",
"악성 신생물(암)","65","사망확률(전체)[%]","%","20.00575",
"악성 신생물(암)","65","증가기대여명(전체)[년]","년","3.12494",
"악성 신생물(암)","65","사망확률(남자)[%]","%","26.55706",
"악성 신생물(암)","65","증가기대여명(남자)[년]","년","4.24597",
"악성 신생물(암)","65","사망확률(여자)[%]","%","14.89714",
"악성 신생물(암)","65","증가기대여명(여자)[년]","년","2.12704",
"악성 신생물(암)","70","사망확률(전체)[%]","%","18.89607",
"악성 신생물(암)","70","증가기대여명(전체)[년]","년","2.80942",
"악성 신생물(암)","70","사망확률(남자)[%]","%","25.35277",
"악성 신생물(암)","70","증가기대여명(남자)[년]","년","3.87068",
"악성 신생물(암)","70","사망확률(여자)[%]","%","14.14722",
"악성 신생물(암)","70","증가기대여명(여자)[년]","년","1.91879",
"악성 신생물(암)","75","사망확률(전체)[%]","%","17.16652",
"악성 신생물(암)","75","증가기대여명(전체)[년]","년","2.4216",
"악성 신생물(암)","75","사망확률(남자)[%]","%","23.42865",
"악성 신생물(암)","75","증가기대여명(남자)[년]","년","3.41108",
"악성 신생물(암)","75","사망확률(여자)[%]","%","12.99271",
"악성 신생물(암)","75","증가기대여명(여자)[년]","년","1.65915",
"악성 신생물(암)","80","사망확률(전체)[%]","%","14.74741",
"악성 신생물(암)","80","증가기대여명(전체)[년]","년","1.96681",
"악성 신생물(암)","80","사망확률(남자)[%]","%","20.7258",
"악성 신생물(암)","80","증가기대여명(남자)[년]","년","2.85655",
"악성 신생물(암)","80","사망확률(여자)[%]","%","11.38461",
"악성 신생물(암)","80","증가기대여명(여자)[년]","년","1.35613",
"악성 신생물(암)","85","사망확률(전체)[%]","%","11.52095",
"악성 신생물(암)","85","증가기대여명(전체)[년]","년","1.38381",
"악성 신생물(암)","85","사망확률(남자)[%]","%","16.95499",
"악성 신생물(암)","85","증가기대여명(남자)[년]","년","2.06213",
"악성 신생물(암)","85","사망확률(여자)[%]","%","9.14396",
"악성 신생물(암)","85","증가기대여명(여자)[년]","년",".9721",
"악성 신생물(암)","90+","사망확률(전체)[%]","%","8.30103",
"악성 신생물(암)","90+","증가기대여명(전체)[년]","년",".41819",
"악성 신생물(암)","90+","사망확률(남자)[%]","%","12.60917",
"악성 신생물(암)","90+","증가기대여명(남자)[년]","년",".5919",
"악성 신생물(암)","90+","사망확률(여자)[%]","%","6.7997",
"악성 신생물(암)","90+","증가기대여명(여자)[년]","년",".35598",
"- 위암","0","사망확률(전체)[%]","%","2.32805",
"- 위암","0","증가기대여명(전체)[년]","년",".39892",
"- 위암","0","사망확률(남자)[%]","%","3.00646",
"- 위암","0","증가기대여명(남자)[년]","년",".52554",
"- 위암","0","사망확률(여자)[%]","%","1.74597",
"- 위암","0","증가기대여명(여자)[년]","년",".27055",
"- 위암","1","사망확률(전체)[%]","%","2.3346",
"- 위암","1","증가기대여명(전체)[년]","년",".40005",
"- 위암","1","사망확률(남자)[%]","%","3.01565",
"- 위암","1","증가기대여명(남자)[년]","년",".52715",
"- 위암","1","사망확률(여자)[%]","%","1.75043",
"- 위암","1","증가기대여명(여자)[년]","년",".27125",
"- 위암","5","사망확률(전체)[%]","%","2.33606",
"- 위암","5","증가기대여명(전체)[년]","년",".4003",
"- 위암","5","사망확률(남자)[%]","%","3.01783",
"- 위암","5","증가기대여명(남자)[년]","년",".52753",
"- 위암","5","사망확률(여자)[%]","%","1.75135",
"- 위암","5","증가기대여명(여자)[년]","년",".27139",
"- 위암","10","사망확률(전체)[%]","%","2.33708",
"- 위암","10","증가기대여명(전체)[년]","년",".40047",
"- 위암","10","사망확률(남자)[%]","%","3.01928",
"- 위암","10","증가기대여명(남자)[년]","년",".52778",
"- 위암","10","사망확률(여자)[%]","%","1.75204",
"- 위암","10","증가기대여명(여자)[년]","년",".27149",
"- 위암","15","사망확률(전체)[%]","%","2.33803",
"- 위암","15","증가기대여명(전체)[년]","년",".40063",
"- 위암","15","사망확률(남자)[%]","%","3.02072",
"- 위암","15","증가기대여명(남자)[년]","년",".52803",
"- 위암","15","사망확률(여자)[%]","%","1.75264",
"- 위암","15","증가기대여명(여자)[년]","년",".27159",
"- 위암","20","사망확률(전체)[%]","%","2.34028",
"- 위암","20","증가기대여명(전체)[년]","년",".40089",
"- 위암","20","사망확률(남자)[%]","%","3.02467",
"- 위암","20","증가기대여명(남자)[년]","년",".52862",
"- 위암","20","사망확률(여자)[%]","%","1.75365",
"- 위암","20","증가기대여명(여자)[년]","년",".27158",
"- 위암","25","사망확률(전체)[%]","%","2.34317",
"- 위암","25","증가기대여명(전체)[년]","년",".40102",
"- 위암","25","사망확률(남자)[%]","%","3.03007",
"- 위암","25","증가기대여명(남자)[년]","년",".52926",
"- 위암","25","사망확률(여자)[%]","%","1.75474",
"- 위암","25","증가기대여명(여자)[년]","년",".27129",
"- 위암","30","사망확률(전체)[%]","%","2.34593",
"- 위암","30","증가기대여명(전체)[년]","년",".40058",
"- 위암","30","사망확률(남자)[%]","%","3.03686",
"- 위암","30","증가기대여명(남자)[년]","년",".52978",
"- 위암","30","사망확률(여자)[%]","%","1.75434",
"- 위암","30","증가기대여명(여자)[년]","년",".26992",
"- 위암","35","사망확률(전체)[%]","%","2.34762",
"- 위암","35","증가기대여명(전체)[년]","년",".39916",
"- 위암","35","사망확률(남자)[%]","%","3.04484",
"- 위암","35","증가기대여명(남자)[년]","년",".53028",
"- 위암","35","사망확률(여자)[%]","%","1.7508",
"- 위암","35","증가기대여명(여자)[년]","년",".26655",
"- 위암","40","사망확률(전체)[%]","%","2.33989",
"- 위암","40","증가기대여명(전체)[년]","년",".39289",
"- 위암","40","사망확률(남자)[%]","%","3.04744",
"- 위암","40","증가기대여명(남자)[년]","년",".52754",
"- 위암","40","사망확률(여자)[%]","%","1.73397",
"- 위암","40","증가기대여명(여자)[년]","년",".25655",
"- 위암","45","사망확률(전체)[%]","%","2.32812",
"- 위암","45","증가기대여명(전체)[년]","년",".3845",
"- 위암","45","사망확률(남자)[%]","%","3.04736",
"- 위암","45","증가기대여명(남자)[년]","년",".52219",
"- 위암","45","사망확률(여자)[%]","%","1.71365",
"- 위암","45","증가기대여명(여자)[년]","년",".24552",
"- 위암","50","사망확률(전체)[%]","%","2.31487",
"- 위암","50","증가기대여명(전체)[년]","년",".37515",
"- 위암","50","사망확률(남자)[%]","%","3.04704",
"- 위암","50","증가기대여명(남자)[년]","년",".5152",
"- 위암","50","사망확률(여자)[%]","%","1.69329",
"- 위암","50","증가기대여명(여자)[년]","년",".23506",
"- 위암","55","사망확률(전체)[%]","%","2.29078",
"- 위암","55","증가기대여명(전체)[년]","년",".36183",
"- 위암","55","사망확률(남자)[%]","%","3.02967",
"- 위암","55","증가기대여명(남자)[년]","년",".50148",
"- 위암","55","사망확률(여자)[%]","%","1.67244",
"- 위암","55","증가기대여명(여자)[년]","년",".22494",
"- 위암","60","사망확률(전체)[%]","%","2.24791",
"- 위암","60","증가기대여명(전체)[년]","년",".34368",
"- 위암","60","사망확률(남자)[%]","%","2.98723",
"- 위암","60","증가기대여명(남자)[년]","년",".48147",
"- 위암","60","사망확률(여자)[%]","%","1.6441",
"- 위암","60","증가기대여명(여자)[년]","년",".21307",
"- 위암","65","사망확률(전체)[%]","%","2.18471",
"- 위암","65","증가기대여명(전체)[년]","년",".32187",
"- 위암","65","사망확률(남자)[%]","%","2.90596",
"- 위암","65","증가기대여명(남자)[년]","년",".45443",
"- 위암","65","사망확률(여자)[%]","%","1.61981",
"- 위암","65","증가기대여명(여자)[년]","년",".20291",
"- 위암","70","사망확률(전체)[%]","%","2.10381",
"- 위암","70","증가기대여명(전체)[년]","년",".29861",
"- 위암","70","사망확률(남자)[%]","%","2.80511",
"- 위암","70","증가기대여명(남자)[년]","년",".42722",
"- 위암","70","사망확률(여자)[%]","%","1.58759",
"- 위암","70","증가기대여명(여자)[년]","년",".19147",
"- 위암","75","사망확률(전체)[%]","%","1.97844",
"- 위암","75","증가기대여명(전체)[년]","년",".2706",
"- 위암","75","사망확률(남자)[%]","%","2.64421",
"- 위암","75","증가기대여명(남자)[년]","년",".39603",
"- 위암","75","사망확률(여자)[%]","%","1.5353",
"- 위암","75","증가기대여명(여자)[년]","년",".17672",
"- 위암","80","사망확률(전체)[%]","%","1.80605",
"- 위암","80","증가기대여명(전체)[년]","년",".2383",
"- 위암","80","사망확률(남자)[%]","%","2.46427",
"- 위암","80","증가기대여명(남자)[년]","년",".36611",
"- 위암","80","사망확률(여자)[%]","%","1.43086",
"- 위암","80","증가기대여명(여자)[년]","년",".15516",
"- 위암","85","사망확률(전체)[%]","%","1.44274",
"- 위암","85","증가기대여명(전체)[년]","년",".18061",
"- 위암","85","사망확률(남자)[%]","%","2.00595",
"- 위암","85","증가기대여명(남자)[년]","년",".29516",
"- 위암","85","사망확률(여자)[%]","%","1.19263",
"- 위암","85","증가기대여명(여자)[년]","년",".11832",
"- 위암","90+","사망확률(전체)[%]","%","1.07659",
"- 위암","90+","증가기대여명(전체)[년]","년",".05028",
"- 위암","90+","사망확률(남자)[%]","%","1.6146",
"- 위암","90+","증가기대여명(남자)[년]","년",".06732",
"- 위암","90+","사망확률(여자)[%]","%",".8891",
"- 위암","90+","증가기대여명(여자)[년]","년",".04377",
"- 대장암","0","사망확률(전체)[%]","%","2.55628",
"- 대장암","0","증가기대여명(전체)[년]","년",".40142",
"- 대장암","0","사망확률(남자)[%]","%","2.78336",
"- 대장암","0","증가기대여명(남자)[년]","년",".46271",
"- 대장암","0","사망확률(여자)[%]","%","2.35132",
"- 대장암","0","증가기대여명(여자)[년]","년",".33375",
"- 대장암","1","사망확률(전체)[%]","%","2.56347",
"- 대장암","1","증가기대여명(전체)[년]","년",".40255",
"- 대장암","1","사망확률(남자)[%]","%","2.79187",
"- 대장암","1","증가기대여명(남자)[년]","년",".46412",
"- 대장암","1","사망확률(여자)[%]","%","2.35734",
"- 대장암","1","증가기대여명(여자)[년]","년",".33461",
"- 대장암","5","사망확률(전체)[%]","%","2.56507",
"- 대장암","5","증가기대여명(전체)[년]","년",".4028",
"- 대장암","5","사망확률(남자)[%]","%","2.79389",
"- 대장암","5","증가기대여명(남자)[년]","년",".46446",
"- 대장암","5","사망확률(여자)[%]","%","2.35856",
"- 대장암","5","증가기대여명(여자)[년]","년",".33478",
"- 대장암","10","사망확률(전체)[%]","%","2.56619",
"- 대장암","10","증가기대여명(전체)[년]","년",".40297",
"- 대장암","10","사망확률(남자)[%]","%","2.79523",
"- 대장암","10","증가기대여명(남자)[년]","년",".46468",
"- 대장암","10","사망확률(여자)[%]","%","2.3595",
"- 대장암","10","증가기대여명(여자)[년]","년",".33491",
"- 대장암","15","사망확률(전체)[%]","%","2.56705",
"- 대장암","15","증가기대여명(전체)[년]","년",".40301",
"- 대장암","15","사망확률(남자)[%]","%","2.79656",
"- 대장암","15","증가기대여명(남자)[년]","년",".46491",
"- 대장암","15","사망확률(여자)[%]","%","2.35992",
"- 대장암","15","증가기대여명(여자)[년]","년",".33476",
"- 대장암","20","사망확률(전체)[%]","%","2.56954",
"- 대장암","20","증가기대여명(전체)[년]","년",".40327",
"- 대장암","20","사망확률(남자)[%]","%","2.79996",
"- 대장암","20","증가기대여명(남자)[년]","년",".46525",
"- 대장암","20","사망확률(여자)[%]","%","2.36172",
"- 대장암","20","증가기대여명(여자)[년]","년",".33501",
"- 대장암","25","사망확률(전체)[%]","%","2.57291",
"- 대장암","25","증가기대여명(전체)[년]","년",".40347",
"- 대장암","25","사망확률(남자)[%]","%","2.80446",
"- 대장암","25","증가기대여명(남자)[년]","년",".46551",
"- 대장암","25","사망확률(여자)[%]","%","2.36411",
"- 대장암","25","증가기대여명(여자)[년]","년",".33517",
"- 대장암","30","사망확률(전체)[%]","%","2.57642",
"- 대장암","30","증가기대여명(전체)[년]","년",".40319",
"- 대장암","30","사망확률(남자)[%]","%","2.80962",
"- 대장암","30","증가기대여명(남자)[년]","년",".46534",
"- 대장암","30","사망확률(여자)[%]","%","2.36623",
"- 대장암","30","증가기대여명(여자)[년]","년",".33486",
"- 대장암","35","사망확률(전체)[%]","%","2.58033",
"- 대장암","35","증가기대여명(전체)[년]","년",".40257",
"- 대장암","35","사망확률(남자)[%]","%","2.8153",
"- 대장암","35","증가기대여명(남자)[년]","년",".46491",
"- 대장암","35","사망확률(여자)[%]","%","2.3688",
"- 대장암","35","증가기대여명(여자)[년]","년",".33419",
"- 대장암","40","사망확률(전체)[%]","%","2.58278",
"- 대장암","40","증가기대여명(전체)[년]","년",".40059",
"- 대장암","40","사망확률(남자)[%]","%","2.82252",
"- 대장암","40","증가기대여명(남자)[년]","년",".46433",
"- 대장암","40","사망확률(여자)[%]","%","2.36676",
"- 대장암","40","증가기대여명(여자)[년]","년",".33073",
"- 대장암","45","사망확률(전체)[%]","%","2.58414",
"- 대장암","45","증가기대여명(전체)[년]","년",".39713",
"- 대장암","45","사망확률(남자)[%]","%","2.83346",
"- 대장암","45","증가기대여명(남자)[년]","년",".46347",
"- 대장암","45","사망확률(여자)[%]","%","2.35936",
